	win -> 92, lose -> 5, draw -> 3
T = 95, order = 2, rand = 3054
	win -> 89, lose -> 9, draw -> 2
T = 96, order = 1, rand = 3054
	win -> 94, lose -> 6, draw -> 0
T = 96, order = 2, rand = 3054
	win -> 94, lose -> 6, draw -> 0
T = 97, order = 1, rand = 3054
	win -> 87, lose -> 11, draw -> 2
T = 97, order = 2, rand = 3054
	win -> 93, lose -> 6, draw -> 1
T = 98, order = 1, rand = 3054
	win -> 92, lose -> 8, draw -> 0
T = 98, order = 2, rand = 3054
	win -> 85, lose -> 14, draw -> 1
T = 99, order = 1, rand = 3054
	win -> 83, lose -> 17, draw -> 0
T = 99, order = 2, rand = 3054
	win -> 93, lose -> 6, draw -> 1
T = 100, order = 1, rand = 3054
	win -> 91, lose -> 6, draw -> 3
T = 100, order = 2, rand = 3054
	win -> 95, lose -> 4, draw -> 1
